"","Agency.Name","State.Name","Total.General.Revenue","Number.Public.Schools","leaid11","County.Name","Full.Time.Teachers","Pupil.Teacher.Ratio","Total.Students"
"14083","SAINT JOHNSVILLE CENTRAL SCHOOL DISTRICT","New York",8519000,2,3627930,"MONTGOMERY COUNTY",39.45,11.96,472
"14084","SAINT JOSEPH'S CHILDREN'S HOME -ADMINISTRATION OFFICE","Wyoming",NA,NA,5600010,"GOSHEN COUNTY",0,NA,0
"14085","SAINT LAWRENCE-LEWIS BOCES","New York",NA,1,3680740,"ST. LAWRENCE COUNTY",140.66,NA,NA
"14086","SAINT MARY'S SCHOOL DISTRICT","Alaska",5478000,1,200680,"WADE HAMPTON CENSUS AREA",13.9,13.96,194
"14087","SAINT MARYS AREA SD","Pennsylvania",25776000,5,4220640,"ELK COUNTY",142.5,15.66,2232
"14088","SAINT REGIS FALLS CENTRAL SCHOOL DISTRICT","New York",7613000,1,3627990,"FRANKLIN COUNTY",28.01,11,308
"14089","SALADO ISD","Texas",12839000,6,4838580,"BELL COUNTY",102.24,13.59,1389
"14090","SALAMANCA CITY SCHOOL DISTRICT","New York",29255000,4,3625440,"CATTARAUGUS COUNTY",117.62,11.53,1356
"14091","SALEM","Massachusetts",91483000,10,2510380,"ESSEX COUNTY",420.95,10.83,4559
"14092","SALEM ACADEMY CHARTER (DISTRICT)","Massachusetts",4076000,1,2500084,"ESSEX COUNTY",30.41,10.13,308
"14093","SALEM CENTRAL SCHOOL DISTRICT","New York",11573000,2,3625470,"WASHINGTON COUNTY",55.03,9.94,547
"14094","SALEM CHSD 600","Illinois",8892000,1,1735190,"MARION COUNTY",51.29,14.99,769
"14095","SALEM CITY","Ohio",22407000,5,3910006,"COLUMBIANA COUNTY",125.91,16.78,2113
"14096","SALEM CITY BOARD OF EDUCATION","New Jersey",29124000,3,3414550,"SALEM COUNTY",131,9.4,1231
"14097","SALEM CITY PBLC SCHS","Virginia",44894000,6,5103460,"SALEM CITY",253.7,15.44,3916
"14098","SALEM COMMUNITY CHARTER SCHOOL (DISTRICT)","Massachusetts",NA,1,2500532,"ESSEX COUNTY",5.57,8.26,46
"14099","SALEM COMMUNITY SCHOOLS","Indiana",20738000,4,1809810,"WASHINGTON COUNTY",NA,NA,2012
"14100","SALEM COUNTY SPECIAL SERVICES SCHOOL DISTRICT","New Jersey",12814000,3,3480361,"SALEM COUNTY",33,3,99
"14101","SALEM COUNTY VOCATIONAL TECHNICAL SCHOOL","New Jersey",11722000,2,3414580,"SALEM COUNTY",47.5,13.73,652
"14102","SALEM R-80","Missouri",12274000,4,2927090,"DENT COUNTY",103.19,13.2,1362
"14103","SALEM SAU OFFICE","New Hampshire",NA,NA,3399957,"ROCKINGHAM COUNTY",0,NA,NA
"14104","SALEM SCHOOL DISTRICT","New Hampshire",58597000,8,3306060,"ROCKINGHAM COUNTY",317.9,13.57,4315
"14105","SALEM SCHOOL DISTRICT","Arkansas",6641000,2,512090,"FULTON COUNTY",54.46,13.24,721
"14106","SALEM SCHOOL DISTRICT","Connecticut",11216000,1,903900,"NEW LONDON COUNTY",39.8,11.13,443
"14107","SALEM SCHOOL DISTRICT","Wisconsin",12878000,1,5513350,"KENOSHA COUNTY",55.7,18.71,1042
"14108","SALEM SD 111","Illinois",8924000,2,1735160,"MARION COUNTY",65,15.63,1016
"14109","SALEM-KEIZER SD 24J","Oregon",407544000,66,4110820,"MARION COUNTY",1812.56,22.49,40756
"14110","SALIDA SCHOOL DISTRICT NO. R-32","Colorado",25405000,6,806330,"CHAFFEE COUNTY",87.78,12.55,1102
"14111","SALIDA UNION ELEMENTARY","California",25888000,5,633900,"STANISLAUS COUNTY",106.65,25.19,2687
"14112","SALINA","Kansas",92042000,12,2011370,"SALINE COUNTY",541.8,13.45,7289
"14113","SALINA","Oklahoma",7326000,3,4026730,"MAYES COUNTY",54,16.13,871
"14114","SALINAS CITY ELEMENTARY","California",73816000,13,633930,"MONTEREY COUNTY",337.1,25.25,8511
"14115","SALINAS UNION HIGH","California",139522000,11,633980,"MONTEREY COUNTY",597.7,23.02,13761
"14116","SALINE AREA SCHOOLS","Michigan",65342000,7,2630660,"WASHTENAW COUNTY",261.26,20.04,5235
"14117","SALINE COUNTY VOCATIONAL CENTER","Arkansas",NA,1,500058,"SALINE COUNTY",0,NA,0
"14118","SALISBURY R-IV","Missouri",5394000,2,2927520,"CHARITON COUNTY",41.55,10.08,419
"14119","SALISBURY SCHOOL DISTRICT","Connecticut",7263000,1,903930,"LITCHFIELD COUNTY",35.37,8.76,310
"14120","SALISBURY SCHOOL DISTRICT","Vermont",1633000,1,5007140,"ADDISON COUNTY",9.82,9.37,92
"14121","SALISBURY TOWNSHIP SD","Pennsylvania",30624000,4,4220730,"LEHIGH COUNTY",114.21,14.08,1608
"14122","SALISBURY-ELK LICK SD","Pennsylvania",4393000,2,4220760,"SOMERSET COUNTY",32.09,8.6,276
"14123","SALLIE B HOWARD SCHOOL","North Carolina",11164000,1,3700049,"WILSON COUNTY",53.04,16.78,890
"14124","SALLISAW","Oklahoma",16346000,4,4026790,"SEQUOYAH COUNTY",137.5,15.46,2126
"14125","SALMON DISTRICT","Idaho",6896000,6,1602850,"LEMHI COUNTY",60.38,14.82,895
"14126","SALMON RIVER CENTRAL SCHOOL DISTRICT","New York",35348000,4,3625500,"FRANKLIN COUNTY",138.22,11.1,1534
"14127","SALMON RIVER JOINT SCHOOL DIST","Idaho",2272000,2,1600138,"IDAHO COUNTY",19.56,6.54,128
"14128","SALOME CONSOLIDATED ELEMENTARY DISTRICT","Arizona",1547000,1,400005,"LA PAZ COUNTY",5.55,16.76,93
"14129","SALT CREEK SD 48","Illinois",11255000,3,1735220,"DUPAGE COUNTY",41.59,11.64,484
"14130","SALT LAKE ARTS ACADEMY","Utah",1395000,1,4900018,"SALT LAKE COUNTY",16.16,18.56,300
"14131","SALT LAKE CENTER FOR SCIENCE EDUCATION","Utah",7910000,1,4900123,"SALT LAKE COUNTY",16.27,20.59,335
"14132","SALT LAKE DISTRICT","Utah",226228000,45,4900870,"SALT LAKE COUNTY",1154.82,21.66,25016
"14133","SALT LAKE SCHOOL FOR THE PERFORMING ARTS","Utah",1790000,1,4900050,"SALT LAKE COUNTY",5.61,39.04,219
"14134","SALT RIVER PIMA-MARICOPA  COMMUNITY SCHOOLS","Arizona",6331000,2,400047,"MARICOPA COUNTY",NA,NA,291
"14135","SALTILLO ISD","Texas",3275000,1,4838610,"HOPKINS COUNTY",25.8,9.81,253
"14136","SALUDA 01","South Carolina",21140000,5,4503460,"SALUDA COUNTY",139.7,15.4,2151
"14137","SAM RAYBURN ISD","Texas",4950000,2,4838640,"FANNIN COUNTY",39.84,12.02,479
"14138","SAMNORWOOD ISD","Texas",493000,1,4838670,"COLLINGSWORTH COUNTY",10.01,2.8,28
"14139","SAMPSON COUNTY SCHOOLS","North Carolina",71934000,18,3704140,"SAMPSON COUNTY",557.71,15.7,8755
"14140","SAN ANGELO ISD","Texas",127701000,27,4838700,"TOM GREEN COUNTY",944.23,15.43,14573
"14141","SAN ANTONIO CAN HIGH SCHOOL","Texas",3990000,1,4800178,"DALLAS COUNTY",22,19.55,430
"14142","SAN ANTONIO ISD","Texas",561919000,99,4838730,"BEXAR COUNTY",3384.83,16.07,54394
"14143","SAN ANTONIO ROP","California",1000,NA,601367,"LOS ANGELES COUNTY",NA,NA,NA
"14144","SAN ANTONIO ROP","California",NA,1,600114,"LOS ANGELES COUNTY",NA,NA,NA
"14145","SAN ANTONIO SCHOOL FOR INQUIRY & CREATIVITY","Texas",4052000,2,4800200,"BEXAR COUNTY",29.52,14.13,417
"14146","SAN ANTONIO TECHNOLOGY ACADEMY","Texas",916000,1,4800180,"BEXAR COUNTY",7.92,10.61,84
"14147","SAN ANTONIO UNION ELEMENTARY","California",2125000,1,634050,"MONTEREY COUNTY",10,17.9,179
"14148","SAN ARDO UNION ELEMENTARY","California",1205000,1,634080,"MONTEREY COUNTY",7,14.57,102
"14149","SAN AUGUSTINE ISD","Texas",20349000,3,4838760,"SAN AUGUSTINE COUNTY",67.88,12.39,841
"14150","SAN BENITO CISD","Texas",113905000,23,4838790,"CAMERON COUNTY",736.32,15.46,11387
"14151","SAN BENITO COUNTY OFFICE OF EDUCATION","California",14342000,2,691028,"SAN BENITO COUNTY",9,11.89,107
"14152","SAN BENITO HIGH","California",27493000,2,634140,"SAN BENITO COUNTY",119.7,25.48,3050
"14153","SAN BERNARDINO CITY UNIFIED","California",614746000,80,634170,"SAN BERNARDINO COUNTY",2341.08,23.23,54379
"14154","SAN BERNARDINO COUNTY OFFICE OF EDUCATION","California",423757000,9,691029,"SAN BERNARDINO COUNTY",255.86,12.51,3201
"14155","SAN BERNARDINO COUNTY ROP","California",NA,1,600132,"SAN BERNARDINO COUNTY",NA,NA,NA
"14156","SAN BRUNO PARK ELEMENTARY","California",29847000,8,634230,"SAN MATEO COUNTY",101.76,25.81,2626
"14157","SAN CARLOS ELEMENTARY","California",42950000,7,634290,"SAN MATEO COUNTY",150.37,21.93,3297
"14158","SAN CARLOS UNIFIED DISTRICT","Arizona",13969000,4,406960,"GILA COUNTY",93,15.62,1453
"14159","SAN DIEGO COUNTY OFFICE OF EDUCATION","California",491371000,19,691030,"SAN DIEGO COUNTY",245.5,17.11,4201
"14160","SAN DIEGO COUNTY ROP","California",NA,1,600138,"SAN DIEGO COUNTY",NA,NA,NA
"14161","SAN DIEGO ISD","Texas",14211000,3,4838820,"DUVAL COUNTY",92.84,14.24,1322
"14162","SAN DIEGO UNIFIED","California",1408787000,225,634320,"SAN DIEGO COUNTY",6705.98,19.54,131044
"14163","SAN DIEGUITO UNION HIGH","California",114313000,10,634380,"SAN DIEGO COUNTY",465.28,26.83,12485
"14164","SAN ELIZARIO ISD","Texas",42842000,7,4838850,"EL PASO COUNTY",258.41,16.16,4177
"14165","SAN FELIPE-DEL RIO CISD","Texas",95516000,13,4838900,"VAL VERDE COUNTY",646.35,16.06,10381
"14166","SAN FERNANDO ELEMENTARY DISTRICT","Arizona",265000,1,407380,"PIMA COUNTY",1,12,12
"14167","SAN FRANCISCO COUNTY OFFICE OF EDUCATION","California",135617000,4,691111,"SAN FRANCISCO COUNTY",39.6,14.17,561
"14168","SAN FRANCISCO COUNTY ROP","California",NA,1,600139,"SAN FRANCISCO COUNTY",NA,NA,NA
"14169","SAN FRANCISCO UNIFIED","California",746702000,116,634410,"SAN FRANCISCO COUNTY",2921.04,19.28,56310
"14170","SAN GABRIEL UNIFIED","California",54262000,9,634425,"LOS ANGELES COUNTY",275.14,24.43,6723
"14171","SAN ISIDRO ISD","Texas",4700000,2,4838910,"STARR COUNTY",24.01,12.12,291
"14172","SAN JACINTO UNIFIED","California",79881000,14,634440,"RIVERSIDE COUNTY",348.86,28.24,9851
"14173","SAN JOAQUIN COUNTY OFFICE OF EDUCATION","California",172015000,7,691031,"SAN JOAQUIN COUNTY",181.45,17.75,3221
"14174","SAN JOAQUIN COUNTY ROP","California",1918000,1,600140,"SAN JOAQUIN COUNTY",NA,NA,NA
"14175","SAN JOAQUIN DATA PROCESSING JPA","California",NA,NA,601369,"SAN JOAQUIN COUNTY",NA,NA,NA
"14176","SAN JON MUNICIPAL SCHOOLS","New Mexico",1974000,3,3502340,"QUAY COUNTY",12.1,10.58,128
"14177","SAN JOSE UNIFIED","California",356268000,53,634590,"SANTA CLARA COUNTY",1474.18,22.59,33308
"14178","SAN JUAN BOCES","Colorado",7595000,1,899300,"LA PLATA COUNTY",5.04,10.12,51
"14179","SAN JUAN BOCES","Colorado",NA,NA,800253,"LA PLATA COUNTY",0,NA,0
"14180","SAN JUAN DISTRICT","Utah",42301000,14,4900900,"SAN JUAN COUNTY",160.69,18.86,3030
"14181","SAN JUAN ISLAND SCHOOL DISTRICT","Washington",8956000,5,5307650,"SAN JUAN COUNTY",45.87,18.86,865
"14182","SAN JUAN UNIFIED","California",446540000,73,634620,"SACRAMENTO COUNTY",1960.69,24.1,47245
"14183","SAN LEANDRO UNIFIED","California",86187000,12,634680,"ALAMEDA COUNTY",400.72,22.14,8870
"14184","SAN LORENZO UNIFIED","California",107518000,18,634710,"ALAMEDA COUNTY",521.88,23.23,12123
"14185","SAN LORENZO VALLEY UNIFIED","California",30035000,7,634740,"SANTA CRUZ COUNTY",189.6,22.49,4264
"14186","SAN LUCAS UNION ELEMENTARY","California",1051000,1,634770,"MONTEREY COUNTY",5,13,65
"14187","SAN LUIS COASTAL UNIFIED","California",77549000,17,634800,"SAN LUIS OBISPO COUNTY",379.1,19.39,7350
"14188","SAN LUIS OBISPO COUNTY OFFICE OF EDUCATION","California",43425000,4,691032,"SAN LUIS OBISPO COUNTY",38.1,16.8,640
"14189","SAN LUIS VALLEY BOCES","Colorado",4683000,NA,899320,"ALAMOSA COUNTY",14.41,NA,NA
"14190","SAN LUIS VALLEY BOCES","Colorado",NA,NA,800261,"ALAMOSA COUNTY",0,NA,0
"14191","SAN MARCOS CISD","Texas",80977000,11,4838970,"HAYS COUNTY",531.85,14.13,7513
"14192","SAN MARCOS UNIFIED","California",177838000,19,634880,"SAN DIEGO COUNTY",668.26,28.61,19117
"14193","SAN MARINO UNIFIED","California",40162000,4,634860,"LOS ANGELES COUNTY",139.64,22.29,3113
"14194","SAN MATEO COUNTY OFFICE OF EDUCATION","California",137186000,9,691033,"SAN MATEO COUNTY",61,7.92,483
"14195","SAN MATEO COUNTY ROP","California",NA,1,600142,"SAN MATEO COUNTY",NA,NA,NA
"14196","SAN MATEO UNION HIGH","California",178591000,7,634980,"SAN MATEO COUNTY",401.75,20.53,8247
"14197","SAN MATEO-FOSTER CITY","California",106721000,20,634920,"SAN MATEO COUNTY",470.28,23.82,11204
"14198","SAN MIGUEL JOINT UNION","California",5551000,2,635010,"SAN LUIS OBISPO COUNTY",30.92,19.73,610
"14199","SAN PASQUAL UNION ELEMENTARY","California",4644000,1,635040,"SAN DIEGO COUNTY",26,20.08,522
"14200","SAN PASQUAL VALLEY UNIFIED","California",12938000,5,635070,"IMPERIAL COUNTY",52,15,780
"14201","SAN PERLITA ISD","Texas",4435000,4,4839000,"WILLACY COUNTY",23.12,12.59,291
"14202","SAN RAFAEL CITY ELEMENTARY","California",54991000,9,635090,"MARIN COUNTY",197.57,21.11,4170
"14203","SAN RAFAEL CITY HIGH","California",30529000,3,635110,"MARIN COUNTY",101.66,19.67,2000
"14204","SAN RAMON VALLEY UNIFIED","California",270383000,35,635130,"CONTRA COSTA COUNTY",1260.84,23.7,29884
"14205","SAN SABA ISD","Texas",7880000,3,4839030,"SAN SABA COUNTY",63.57,11.12,707
"14206","SAN SIMON UNIFIED DISTRICT","Arizona",1950000,1,407430,"COCHISE COUNTY",13,6.85,89
"14207","SAN TAN MONTESSORI SCHOOL  INC.","Arizona",2784000,1,400775,"MARICOPA COUNTY",NA,NA,405
"14208","SAN VICENTE ISD","Texas",918000,1,4839060,"BREWSTER COUNTY",3.99,4.01,16
"14209","SAN YSIDRO ELEMENTARY","California",56776000,8,635220,"SAN DIEGO COUNTY",190.75,27.53,5252
"14210","SANBORN CENTRAL SCHOOL DISTRICT 55-5","South Dakota",2404000,4,4603932,"SANBORN COUNTY",21.02,9.94,209
"14211","SANBORN REGIONAL SAU OFFICE","New Hampshire",NA,NA,3399968,"ROCKINGHAM COUNTY",0,NA,NA
"14212","SANBORN REGIONAL SCHOOL DISTRICT","New Hampshire",30582000,4,3306080,"ROCKINGHAM COUNTY",161,10.21,1644
"14213","SAND CREEK COMMUNITY SCHOOLS","Michigan",8549000,2,2630780,"LENAWEE COUNTY",51.8,17.88,926
"14214","SAND SPRINGS","Oklahoma",43706000,9,4026880,"TULSA COUNTY",297,17.67,5248
"14215","SAND SPRINGS ELEM","Montana",43000,1,3012060,"GARFIELD COUNTY",1,5,5
"14216","SANDERS","Montana",NA,NA,3000073,"SANDERS COUNTY",NA,NA,NA
"14217","SANDERS COUNTY ED SERVICESCOOP","Montana",535000,NA,3000074,"SANDERS COUNTY",1,0,0
"14218","SANDERS UNIFIED DISTRICT","Arizona",9195000,3,406740,"APACHE COUNTY",68,12.99,883
"14219","SANDGATE SCHOOL DISTRICT","Vermont",797000,NA,5007170,"BENNINGTON COUNTY",0,NA,48
"14220","SANDHILLS PUBLIC SCHOOLS","Nebraska",2426000,2,3176380,"BLAINE COUNTY",17.64,6.52,115
"14221","SANDHILLS THEATRE ARTS RENAISS","North Carolina",2055000,1,3700091,"MOORE COUNTY",26.13,10.52,275
"14222","SANDOVAL CUSD 501","Illinois",6140000,3,1735310,"MARION COUNTY",40.22,13.23,532
"14223","SANDRIDGE SD 172","Illinois",5545000,1,1735340,"COOK COUNTY",28,15.93,446
"14224","SANDS CISD","Texas",8040000,1,4839120,"DAWSON COUNTY",22.96,9.76,224
"14225","SANDUSKY CITY","Ohio",48713000,8,3904474,"ERIE COUNTY",207.37,16.46,3413
"14226","SANDUSKY COMMUNITY SCHOOL DISTRICT","Michigan",10481000,3,2630840,"SANILAC COUNTY",55.5,19.46,1080
"14227","SANDWICH","Massachusetts",47555000,4,2510470,"BARNSTABLE COUNTY",232.43,14.18,3296
"14228","SANDWICH CUSD 430","Illinois",26305000,6,1735370,"DEKALB COUNTY",160,14.78,2364
"14229","SANDY CREEK CENTRAL SCHOOL DISTRICT","New York",22738000,3,3625650,"OSWEGO COUNTY",88.04,9.81,864
"14230","SANDY VALLEY LOCAL","Ohio",16967000,3,3904994,"TUSCARAWAS COUNTY",85.55,17.33,1483
"14231","SANDYSTON-WALPACK CONSOLIDATED SCHOOL","New Jersey",3039000,1,3414610,"SUSSEX COUNTY",17.6,8.18,144
"14232","SANFORD PUBLIC SCHOOLS","Maine",37176000,8,2310500,"YORK COUNTY",273.61,11.36,3107
"14233","SANFORD SCHOOL DISTRICT NO. 6 IN THE COUNTY OF CONEJOS AND","Colorado",3814000,2,806390,"CONEJOS COUNTY",23,15.39,354
"14234","SANFORD-FRITCH ISD","Texas",8139000,4,4839150,"HUTCHINSON COUNTY",69.28,12.11,839
"14235","SANGAMON AREA SPEC ED DIST","Illinois",22552000,1,1700116,"SANGAMON COUNTY",148.35,NA,NA
"14236","SANGAMON ROE","Illinois",NA,1,1700206,"SANGAMON COUNTY",7.83,NA,NA
"14237","SANGAMON VALLEY CUSD 9","Illinois",8372000,4,1700324,"MACON COUNTY",51.35,15.23,782
"14238","SANGER ISD","Texas",24814000,8,4839180,"DENTON COUNTY",177.07,14.68,2600
"14239","SANGER UNIFIED","California",100949000,20,635250,"FRESNO COUNTY",485.01,22.42,10872
"14240","SANGRE DE CRISTO SCHOOL DISTRICT NO. RE-22J","Colorado",3979000,2,806420,"ALAMOSA COUNTY",27.25,11.38,310
"14241","SANILAC ISD","Michigan",9815000,1,2680965,"SANILAC COUNTY",23.5,8.85,208
"14242","SANKOFA ACADEMY CS","Pennsylvania",805000,1,4200138,"CHESTER COUNTY",4,11.5,46
"14243","SANKOFA FREEDOM ACADEMY CHARTER SCHOOL","Pennsylvania",5575000,1,4200816,"PHILADELPHIA COUNTY",25,19.28,482
"14244","SANTA ANA UNIFIED","California",615303000,60,635310,"ORANGE COUNTY",2275.58,25.16,57250
"14245","SANTA ANNA ISD","Texas",3221000,3,4839210,"COLEMAN COUNTY",24.01,10.91,262
"14246","SANTA BARBARA COUNTY OFFICE OF EDUCATION","California",71515000,5,691034,"SANTA BARBARA COUNTY",69.93,9.22,645
"14247","SANTA BARBARA COUNTY ROP","California",NA,2,600133,"SANTA BARBARA COUNTY",NA,NA,NA
"14248","SANTA BARBARA COUNTY SELPA JPA","California",4774000,NA,601404,"SANTA BARBARA COUNTY",NA,NA,NA
"14249","SANTA BARBARA UNIFIED","California",208715000,27,601414,"SANTA BARBARA COUNTY",653.78,23.44,15326
"14250","SANTA CLARA COUNTY OFFICE OF EDUCATION","California",279162000,18,691035,"SANTA CLARA COUNTY",426.89,15.31,6534
"14251","SANTA CLARA COUNTY ROP","California",NA,1,600137,"SANTA CLARA COUNTY",NA,NA,NA
"14252","SANTA CLARA ELEMENTARY","California",501000,1,635490,"VENTURA COUNTY",2.5,21.6,54
"14253","SANTA CLARA UNIFIED","California",190795000,26,635430,"SANTA CLARA COUNTY",642.7,23.79,15289
"14254","SANTA CLARITA VLLY SCH FOOD SVS AGENCY JPA","California",8788000,NA,601361,"LOS ANGELES COUNTY",NA,NA,NA
"14255","SANTA CRUZ CITY ELEMENTARY","California",NA,5,635590,"SANTA CRUZ COUNTY",103.2,22.64,2336
"14256","SANTA CRUZ CITY ELEMENTARY/HIGH","California",77076000,NA,601327,"SANTA CRUZ COUNTY",NA,NA,NA
"14257","SANTA CRUZ CITY HIGH","California",NA,10,635600,"SANTA CRUZ COUNTY",194.77,24.08,4691
"14258","SANTA CRUZ COUNTY OFFICE OF EDUCATION","California",53667000,4,691036,"SANTA CRUZ COUNTY",73.88,14.97,1106
"14259","SANTA CRUZ COUNTY REGIONAL SCHOOL DISTRICT","Arizona",1020000,1,400434,"SANTA CRUZ COUNTY",1.75,24,42
"14260","SANTA CRUZ COUNTY ROP","California",NA,1,600143,"SANTA CRUZ COUNTY",NA,NA,NA
"14261","SANTA CRUZ COUNTY SHERIFFS OFFICE","Arizona",NA,1,400777,"SANTA CRUZ COUNTY",NA,NA,NA
"14262","SANTA CRUZ ELEMENTARY DISTRICT","Arizona",2473000,1,407500,"SANTA CRUZ COUNTY",12,24.33,292
"14263","SANTA CRUZ VALLEY OPPORTUNITIES IN EDUCATION  INC.","Arizona",478000,1,400264,"SANTA CRUZ COUNTY",NA,NA,46
"14264","SANTA CRUZ VALLEY UNIFIED DISTRICT","Arizona",29242000,6,407520,"SANTA CRUZ COUNTY",193.93,17.36,3367
"14265","SANTA CRUZ VALLEY UNION HIGH SCHOOL DISTRICT","Arizona",5975000,3,407530,"PINAL COUNTY",18.14,21.22,385
"14266","SANTA FE ISD","Texas",42833000,6,4839270,"GALVESTON COUNTY",264.95,17.41,4612
"14267","SANTA FE PUBLIC SCHOOLS","New Mexico",169470000,30,3502370,"SANTA FE COUNTY",948.85,14.83,14071
"14268","SANTA FE R-X","Missouri",4413000,2,2903000,"LAFAYETTE COUNTY",32.31,11.67,377
"14269","SANTA FE SOUTH ES (CHARTER)","Oklahoma",782000,1,4000752,"OKLAHOMA COUNTY",26,18.08,470
"14270","SANTA FE TRAIL","Kansas",12714000,4,2010410,"OSAGE COUNTY",89.3,12.37,1105
"14271","SANTA FE TRAIL BOCES","Colorado",2253000,NA,800014,"OTERO COUNTY",4.93,NA,NA
"14272","SANTA FE TRAIL BOCES","Colorado",NA,NA,800271,"OTERO COUNTY",0,NA,0
"14273","SANTA GERTRUDIS ISD","Texas",7666000,2,4839300,"KLEBERG COUNTY",41.65,10.73,447
"14274","SANTA LUCIA ROP","California",2485000,NA,601359,"SAN LUIS OBISPO COUNTY",NA,NA,NA
"14275","SANTA LUCIA ROP","California",NA,1,600141,"SAN LUIS OBISPO COUNTY",NA,NA,NA
"14276","SANTA MARIA ISD","Texas",10041000,6,4839330,"CAMERON COUNTY",43.85,15.19,666
"14277","SANTA MARIA JOINT UNION HIGH","California",75631000,4,635670,"SANTA BARBARA COUNTY",318.76,23.95,7633
"14278","SANTA MARIA-BONITA","California",122477000,19,605580,"SANTA BARBARA COUNTY",568.42,25.73,14624
"14279","SANTA MONICA-MALIBU UNIFIED","California",161270000,16,635700,"LOS ANGELES COUNTY",511.6,22.42,11468
"14280","SANTA PAULA ELEMENTARY","California",35386000,7,635730,"VENTURA COUNTY",158.67,23.28,3694
"14281","SANTA PAULA UNION HIGH","California",15502000,2,635760,"VENTURA COUNTY",61.52,25.89,1593
"14282","SANTA RITA UNION ELEMENTARY","California",24721000,6,635790,"MONTEREY COUNTY",104,29.88,3107
"14283","SANTA ROSA","Florida",207528000,39,1201650,"SANTA ROSA COUNTY",1556.63,16.63,25885
"14284","SANTA ROSA CONSOLIDATED SCHOOLS","New Mexico",8288000,5,3502400,"GUADALUPE COUNTY",48.26,13.03,629
"14285","SANTA ROSA ELEMENTARY","California",NA,13,635810,"SONOMA COUNTY",266.05,18.96,5045
"14286","SANTA ROSA ELEMENTARY-HIGH CITY OF","California",160718000,NA,601329,"SONOMA COUNTY",NA,NA,NA
"14287","SANTA ROSA HIGH","California",NA,18,635830,"SONOMA COUNTY",516.06,22,11354
"14288","SANTA ROSA ISD","Texas",15578000,5,4839360,"CAMERON COUNTY",85.46,13.87,1185
"14289","SANTA YNEZ VALLEY UNION HIGH","California",12155000,2,635850,"SANTA BARBARA COUNTY",54.4,19.15,1042
"14290","SANTEE","California",57854000,11,635880,"SAN DIEGO COUNTY",284.54,22.55,6416
"14291","SANTEE COMMUNITY SCHOOLS","Nebraska",5583000,2,3176400,"KNOX COUNTY",23.45,7.08,166
"14292","SANTIAM CANYON SD 129J","Oregon",5394000,3,4108100,"LINN COUNTY",29,18.79,545
"14293","SANTO ISD","Texas",5409000,2,4839390,"PALO PINTO COUNTY",37.91,13.87,526
"14294","SAPULPA","Oklahoma",35012000,7,4026910,"CREEK COUNTY",239,17.05,4076
"14295","SARALAND CITY","Alabama",41422000,3,100185,"MOBILE COUNTY",136,16.42,2233
"14296","SARANAC CENTRAL SCHOOL DISTRICT","New York",29470000,4,3600009,"CLINTON COUNTY",135.18,11.46,1549
"14297","SARANAC COMMUNITY SCHOOLS","Michigan",11249000,2,2630930,"IONIA COUNTY",58.14,19.85,1154
"14298","SARANAC LAKE CENTRAL SCHOOL DISTRICT","New York",27599000,4,3625740,"FRANKLIN COUNTY",129.83,10.72,1392
"14299","SARASOTA","Florida",469978000,60,1201680,"SARASOTA COUNTY",3390,12.12,41083
"14300","SARATOGA CCSD 60C","Illinois",8424000,1,1735400,"GRUNDY COUNTY",41.5,19.2,797
"14301","SARATOGA SPRINGS CITY SCHOOL DISTRICT","New York",109233000,8,3625770,"SARATOGA COUNTY",491.21,13.57,6667
"14302","SARATOGA UNION ELEMENTARY","California",27598000,4,635910,"SANTA CLARA COUNTY",106.07,19.88,2109
"14303","SARCOXIE R-II","Missouri",7234000,2,2927540,"JASPER COUNTY",61.22,12.53,767
"14304","SARGENT CENTRAL 6","North Dakota",4100000,2,3816430,"SARGENT COUNTY",28,7.75,217
"14305","SARGENT PUBLIC SCHOOLS","Nebraska",2786000,2,3176410,"CUSTER COUNTY",17.81,10.16,181
"14306","SARGENT SCHOOL DISTRICT NO. RE-33J","Colorado",4540000,3,806450,"RIO GRANDE COUNTY",34.34,13.19,453
"14307","SARTELL-ST. STEPHEN SCHOOL DISTRICT","Minnesota",35813000,4,2732820,"STEARNS COUNTY",213.52,17.24,3682
"14308","SASAKWA","Oklahoma",2384000,2,4026940,"SEMINOLE COUNTY",16.9,13.85,234
"14309","SATANTA","Kansas",6236000,2,2011400,"HASKELL COUNTY",38.6,8.29,320
"14310","SATORI  INC.","Arizona",1367000,1,400409,"PIMA COUNTY",NA,NA,172
"14311","SATSOP SCHOOL DISTRICT","Washington",698000,1,5307680,"GRAYS HARBOR COUNTY",3.67,14.17,52
"14312","SAU #28 OFFICE","New Hampshire",NA,NA,3399928,"ROCKINGHAM COUNTY",0,NA,NA
"14313","SAU-TECH CAREER CENTER","Arkansas",NA,1,500002,"OUACHITA COUNTY",0,NA,0
"14314","SAUCELITO ELEMENTARY","California",933000,1,635940,"TULARE COUNTY",4.9,15.71,77
"14315","SAUCON VALLEY SD","Pennsylvania",41049000,3,4211730,"NORTHAMPTON COUNTY",170.5,13.77,2348
"14316","SAUGATUCK PUBLIC SCHOOLS","Michigan",9643000,3,2630960,"ALLEGAN COUNTY",50.15,16.61,833
"14317","SAUGERTIES CENTRAL SCHOOL DISTRICT","New York",57599000,6,3625800,"ULSTER COUNTY",209.66,13.76,2885
